{spawn}
<common spd=[30,0.01] tough=[10,0.1]>
<pos11 pos_x=-3 pos_y=5 dir=180>
<pos12 pos_x=-3 pos_y=5 dir=175>
<pos13 pos_x=-3 pos_y=5 dir=170>
<pos14 pos_x=-3 pos_y=5 dir=165>
<pos15 pos_x=-3 pos_y=5 dir=160>
<pos21 pos_x=-2 pos_y=5 dir=185>
<pos22 pos_x=-2 pos_y=5 dir=180>
<pos23 pos_x=-2 pos_y=5 dir=175>
<pos24 pos_x=-2 pos_y=5 dir=170>
<pos25 pos_x=-2 pos_y=5 dir=165>
<pos31 pos_x=-1 pos_y=5 dir=190>
<pos32 pos_x=-1 pos_y=5 dir=185>
<pos33 pos_x=-1 pos_y=5 dir=180>
<pos34 pos_x=-1 pos_y=5 dir=175>
<pos35 pos_x=-1 pos_y=5 dir=170>
<pos41 pos_x=0 pos_y=5 dir=190>
<pos42 pos_x=0 pos_y=5 dir=185>
<pos43 pos_x=0 pos_y=5 dir=180>
<pos44 pos_x=0 pos_y=5 dir=175>
<pos45 pos_x=0 pos_y=5 dir=170>
<pos51 pos_x=1 pos_y=5 dir=190>
<pos52 pos_x=1 pos_y=5 dir=185>
<pos53 pos_x=1 pos_y=5 dir=180>
<pos54 pos_x=1 pos_y=5 dir=175>
<pos55 pos_x=1 pos_y=5 dir=170>
<pos61 pos_x=2 pos_y=5 dir=195>
<pos62 pos_x=2 pos_y=5 dir=190>
<pos63 pos_x=2 pos_y=5 dir=185>
<pos64 pos_x=2 pos_y=5 dir=180>
<pos65 pos_x=2 pos_y=5 dir=175>
<pos71 pos_x=3 pos_y=5 dir=200>
<pos72 pos_x=3 pos_y=5 dir=195>
<pos73 pos_x=3 pos_y=5 dir=190>
<pos74 pos_x=3 pos_y=5 dir=185>
<pos75 pos_x=3 pos_y=5 dir=180>
